Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
26-Apr-23,EQ,529,536.9,528.6,529.75,530.9,531.6,532.16,620.6,457.8,"41,65,761","2,21,68,69,552.35","79,408",HDFCLIFE
25-Apr-23,EQ,546.15,546.85,528,547.55,528.75,529.75,536.61,620.6,457.8,"67,00,461","3,59,55,10,005.55","1,09,838",HDFCLIFE
24-Apr-23,EQ,551,555.55,532,513.3,546.15,547.55,543.31,620.6,457.8,"2,34,96,385","12,76,58,77,133.30","2,64,927",HDFCLIFE
21-Apr-23,EQ,536,541.25,511.4,530.25,513.5,513.3,520.82,620.6,457.8,"44,52,849","2,31,91,37,051.70","94,884",HDFCLIFE
20-Apr-23,EQ,525,531.6,522.8,524.8,529.8,530.25,528.9,620.6,457.8,"15,61,641","82,59,54,709.60","41,778",HDFCLIFE
19-Apr-23,EQ,532.5,532.95,523.35,532.3,524.95,524.8,527.36,620.6,457.8,"16,22,301","85,55,40,764.60","46,040",HDFCLIFE
18-Apr-23,EQ,537,540,529.5,533.4,533,532.3,535.16,620.6,457.8,"25,14,020","1,34,54,10,789.35","75,402",HDFCLIFE
17-Apr-23,EQ,542.5,542.5,529.3,531.85,532.9,533.4,532.66,620.6,457.8,"34,17,617","1,82,04,16,559.45","51,650",HDFCLIFE
13-Apr-23,EQ,519.65,533.5,518.5,517.05,531.35,531.85,527.09,620.6,457.8,"41,53,200","2,18,91,03,714.05","82,860",HDFCLIFE
12-Apr-23,EQ,514,518.45,509.55,513.55,517.95,517.05,514.9,620.6,457.8,"19,50,603","1,00,43,59,732.60","62,514",HDFCLIFE
11-Apr-23,EQ,516.8,522.8,512.75,513.7,512.9,513.55,517.21,620.6,457.8,"36,71,457","1,89,89,13,629.95","65,604",HDFCLIFE
10-Apr-23,EQ,514.65,520.3,511.65,514.65,514,513.7,514.5,620.6,457.8,"23,75,216","1,22,20,56,514.85","45,346",HDFCLIFE
