"Symbol","Security","New 52W/H price","Prev. High","Prev. High Date","LTP","Prev. Close","chng","%chng"
"PENINLAND","Peninsula Land Limited",23.95,22.85,"09-Jun-2023",23.95,"22.85",1.1,4.814004376367615
"PFC","Power Finance Corporation Limited",202.35,199.5,"09-Jun-2023",201.7,"198.7",3,1.509813789632612
"PRESSMN","Pressman Advertising Limited",141.1,134.4,"09-Jun-2023",141,"134.4",6.6,4.910714285714286
"PRESTIGE","Prestige Estates Projects Limited",553.25,542.25,"08-Jun-2023",549.95,"536.75",13.2,2.4592454587796926
"PRIMESECU","Prime Securities Limited",129.4,128.45,"08-Jun-2023",125.95,"125.15",0.8,0.6392329204954055
"PRINCEPIPE","Prince Pipes And Fittings Limited",675.3,663.4,"29-May-2023",667,"648.2",18.8,2.900339401419315
"PTCIL","PTC Industries Limited",3684.15,3149.95,"09-Jun-2023",3684.15,"3070.15",614,19.999022849046465
"RAMCOCEM","The Ramco Cements Limited",937.75,937.3,"09-Jun-2023",934.85,"932.55",2.3,0.246635569138384
"RAMRAT","Ram Ratna Wires Limited",278.4,272.7,"07-Jun-2023",275.7,"261.35",14.35,5.4907212550220015
"RECLTD","REC Limited",153.8,149.45,"09-Jun-2023",153.65,"149.05",4.6,3.086212680308621
"REPCOHOME","Repco Home Finance Limited",294,294,"08-Jun-2023",293.05,"288.85",4.2,1.4540418902544574
"RESPONIND","Responsive Industries Limited",177,175,"07-Jun-2023",173.35,"169",4.35,2.57396449704142
"RSYSTEMS","R Systems International Limited",387.9,369.9,"09-Jun-2023",386.3,"365.7",20.6,5.633032540333606
"S&SPOWER","S&S Power Switchgears Limited",37.7,37,"23-Feb-2023",37.7,"35.95",1.75,4.867872044506258
"SANDHAR","Sandhar Technologies Limited",298.1,296,"08-Jun-2023",294.6,"288",6.6,2.2916666666666665
"SANGHVIMOV","Sanghvi Movers Limited",480.6,475,"08-Jun-2023",470.75,"464.7",6.05,1.3019152141166344
"SARDAEN","Sarda Energy & Minerals Limited",1324.95,1308.75,"09-Jun-2023",1309.55,"1280.35",29.2,2.2806263912211504
"SDL24BEES","Nippon India ETF Nifty CPSE Bond Plus SDL Sep 2024 50-50",113.99,113.99,"09-Jun-2023",113.99,"113.8",0.19,0.16695957820738136
"SERVOTECH","Servotech Power Systems Limited",143.45,138,"08-Jun-2023",143.45,"136.65",6.8,4.976216611781925
"SONATSOFTW","Sonata Software Limited",1078,1053.5,"09-Jun-2023",1042.5,"1032.85",9.65,0.9343079827661326
"STYLAMIND","Stylam Industries Limited",1790,1749,"08-Jun-2023",1753.5,"1731.35",22.15,1.2793484852860484
"STYRENIX","Styrenix Performance Materials Limited",1050,1025.95,"06-Jun-2023",1023.25,"1009.8",13.45,1.3319469201822143
"SWARAJENG","Swaraj Engines Limited",2193.2,2090,"09-Jun-2023",2182,"2068.9",113.1,5.466673111315192
"TARC","TARC Limited",61.95,60.8,"07-Jun-2023",60.9,"60.05",0.85,1.4154870940882598
"TEGA","Tega Industries Limited",939.95,934.9,"09-Jun-2023",928.8,"913.05",15.75,1.7249876786594383
"TEMBO","Tembo Global Industries Limited",244,242.9,"26-May-2023",240,"238.3",1.7,0.7133864876206463
"THOMASCOTT","Thomas Scott (India) Limited",59.6,58.5,"08-Jun-2023",55,"56.8",-1.8,-3.1690140845070425
"TVSMOTOR","TVS Motor Company Limited",1384.8,1354.5,"07-Jun-2023",1340.6,"1336",4.6,0.344311377245509
"UGARSUGAR","The Ugar Sugar Works Limited",119,119,"09-May-2023",116.2,"116.8",-0.6,-0.5136986301369864
"UJJIVAN","Ujjivan Financial Services Limited",374.45,373.1,"31-May-2023",372.6,"367.35",5.25,1.4291547570436913
"UJJIVANSFB","Ujjivan Small Finance Bank Limited",37.65,37.6,"07-Jun-2023",37.4,"36.9",0.5,1.3550135501355014
"USHAMART","Usha Martin Limited",265.45,259.45,"09-Jun-2023",265,"257.95",7.05,2.733087807714673
"WABAG","VA Tech Wabag Limited",505,503.2,"07-Jun-2023",497.65,"493.35",4.3,0.871592175940002
"ZOMATO","Zomato Limited",80.3,78,"09-Jun-2023",79,"77.6",1.4,1.8041237113402062
