Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,Company
12-May-23,EQ,258,261.25,255.05,258.4,260.8,260.75,259.27,274.55,200.05,"31,96,409","82,87,37,279.15","39,502",HINDPETRO
11-May-23,EQ,258.05,259.15,256.3,256.05,258,258.4,257.91,274.55,200.05,"12,63,536","32,58,75,923.10","27,052",HINDPETRO
10-May-23,EQ,257.35,259.5,253.85,255.45,256.3,256.05,256.77,274.55,200.05,"51,88,412","1,33,22,39,135.40","36,548",HINDPETRO
09-May-23,EQ,254.45,256.4,253.05,253.95,255.25,255.45,255.02,274.55,200.05,"20,97,068","53,47,97,789.70","25,598",HINDPETRO
08-May-23,EQ,254.7,255.1,250.45,254,254,253.95,252.7,274.55,200.05,"37,05,772","93,64,48,533.10","44,683",HINDPETRO
05-May-23,EQ,259.5,260.45,253.65,258.2,253.9,254,256.74,277.7,200.05,"21,75,413","55,85,05,997.10","22,797",HINDPETRO
04-May-23,EQ,259.05,265.95,256.35,256.6,258,258.2,262.71,277.7,200.05,"69,45,164","1,82,45,96,434.85","62,720",HINDPETRO
03-May-23,EQ,255.7,260,253.8,252.85,256.9,256.6,256.44,277.7,200.05,"45,22,742","1,15,98,05,058.50","52,629",HINDPETRO
02-May-23,EQ,251.3,257.65,250.7,251.25,252,252.85,254.08,277.7,200.05,"26,36,778","66,99,40,978.10","41,326",HINDPETRO
28-Apr-23,EQ,251.5,251.8,247.3,250.6,250.75,251.25,249.72,297.5,200.05,"16,24,774","40,57,32,530.30","20,184",HINDPETRO
27-Apr-23,EQ,249.3,253.5,248.75,247.25,250.65,250.6,251.17,297.5,200.05,"30,69,048","77,08,62,089.90","27,400",HINDPETRO
26-Apr-23,EQ,245.3,248.6,245.3,247,246.35,247.25,247.25,297.5,200.05,"15,14,254","37,44,06,798.75","18,788",HINDPETRO
25-Apr-23,EQ,243.45,248,242,243.8,246.9,247,246.63,297.5,200.05,"19,23,777","47,44,59,842.75","30,971",HINDPETRO
24-Apr-23,EQ,241.4,244.2,239.65,241.8,243.45,243.8,242.7,297.5,200.05,"9,96,989","24,19,69,737.25","20,343",HINDPETRO
21-Apr-23,EQ,241.3,242.4,238.5,239.7,240.65,241.8,241,304.1,200.05,"15,61,574","37,63,33,479.25","27,282",HINDPETRO
20-Apr-23,EQ,239.85,243.5,237.85,238.25,239.25,239.7,240.2,304.1,200.05,"35,00,073","84,07,22,933.20","33,823",HINDPETRO
19-Apr-23,EQ,228.75,239,228,228.6,238.7,238.25,234.59,304.1,200.05,"38,83,553","91,10,35,838.95","32,330",HINDPETRO
18-Apr-23,EQ,227.95,228.85,226.95,226.9,228.2,228.6,227.77,304.1,200.05,"13,04,569","29,71,43,253.10","18,581",HINDPETRO
17-Apr-23,EQ,225.55,227.35,222.05,225,227,226.9,224.96,304.1,200.05,"19,58,849","44,06,65,090.15","20,480",HINDPETRO
13-Apr-23,EQ,227.1,228.9,223.25,229.9,225.1,225,224.69,306.7,200.05,"55,72,764","1,25,21,64,144.10","44,671",HINDPETRO
12-Apr-23,EQ,231,232.3,227.55,231.3,229.9,229.9,229.69,306.7,200.05,"29,53,717","67,84,48,224.30","27,044",HINDPETRO
11-Apr-23,EQ,229.6,231.75,229.3,229.3,231.4,231.3,230.79,306.7,200.05,"12,17,235","28,09,25,010.00","17,388",HINDPETRO
10-Apr-23,EQ,227.95,231,227.1,227.9,229,229.3,229.1,306.7,200.05,"19,51,800","44,71,53,605.70","19,188",HINDPETRO
